onboarding_task_id,employee_id,task_name,task_category,current_stage,task_status,due_date,completed_date,completion_percentage
ONB00122,10114,30-Day Onboarding Review,Manager,Productive,Not Started,2009-08-05,,0.0
ONB00123,10250,Complete HR Documentation,HR,Preboarding,Overdue,2015-01-08,,38.0
ONB00124,10250,Submit Required Identification,HR,Preboarding,In Progress,2015-01-07,,49.0
ONB00125,10250,Complete New Hire Orientation,HR,Orientation,In Progress,2015-01-12,,52.0
ONB00126,10250,Manager Introduction,Manager,Orientation,Complete,2015-01-10,2015-01-11,100.0
ONB00127,10250,Laptop Provisioning,IT,Setup,In Progress,2015-01-12,,23.0
ONB00128,10250,Network Account Setup,IT,Setup,In Progress,2015-01-10,,52.0
ONB00129,10250,Email and Collaboration Access,IT,Setup,Complete,2015-01-10,2015-01-07,100.0
ONB00130,10250,Security Awareness Training,Compliance,Enablement,Complete,2015-01-17,2015-01-20,100.0
ONB00131,10250,Company Policy Training,Compliance,Enablement,Complete,2015-01-15,2015-01-17,100.0
ONB00132,10250,Role-Specific Training,Role-specific,Enablement,Complete,2015-01-25,2015-01-12,100.0
ONB00133,10250,Department Process Training,Role-specific,Enablement,Complete,2015-01-20,2015-01-15,100.0
ONB00134,10250,Tool Access Verification,IT,Enablement,Complete,2015-01-15,2015-01-18,100.0
ONB00135,10250,First Week Check-in,Manager,Enablement,Complete,2015-01-15,2015-01-17,100.0
ONB00136,10250,30-Day Onboarding Review,Manager,Productive,Complete,2015-02-04,2015-01-28,100.0
ONB00137,10252,Complete HR Documentation,HR,Preboarding,In Progress,2011-01-13,,34.0
ONB00138,10252,Submit Required Identification,HR,Preboarding,Complete,2011-01-12,2011-01-15,100.0
ONB00139,10252,Complete New Hire Orientation,HR,Orientation,Complete,2011-01-17,2011-01-11,100.0
ONB00140,10252,Manager Introduction,Manager,Orientation,Complete,2011-01-15,2011-01-12,100.0
ONB00141,10252,Laptop Provisioning,IT,Setup,Complete,2011-01-17,2011-01-19,100.0
ONB00142,10252,Network Account Setup,IT,Setup,Complete,2011-01-15,2011-01-18,100.0
ONB00143,10252,Email and Collaboration Access,IT,Setup,Complete,2011-01-15,2011-01-18,100.0
ONB00144,10252,Security Awareness Training,Compliance,Enablement,Complete,2011-01-22,2011-01-20,100.0
ONB00145,10252,Company Policy Training,Compliance,Enablement,Complete,2011-01-20,2011-01-13,100.0
ONB00146,10252,Role-Specific Training,Role-specific,Enablement,Complete,2011-01-30,2011-01-28,100.0
ONB00147,10252,Department Process Training,Role-specific,Enablement,Complete,2011-01-25,2011-01-15,100.0
ONB00148,10252,Tool Access Verification,IT,Enablement,Complete,2011-01-20,2011-01-17,100.0
ONB00149,10252,First Week Check-in,Manager,Enablement,Complete,2011-01-20,2011-01-20,100.0
ONB00150,10252,30-Day Onboarding Review,Manager,Productive,Complete,2011-02-09,2011-02-10,100.0
ONB00151,10242,Complete HR Documentation,HR,Preboarding,Blocked,2012-04-05,,24.0
ONB00152,10242,Submit Required Identification,HR,Preboarding,Blocked,2012-04-04,,40.0
ONB00153,10242,Complete New Hire Orientation,HR,Orientation,Complete,2012-04-09,2012-04-03,100.0
ONB00154,10242,Manager Introduction,Manager,Orientation,Complete,2012-04-07,2012-04-04,100.0
ONB00155,10242,Laptop Provisioning,IT,Setup,Complete,2012-04-09,2012-04-05,100.0
ONB00156,10242,Network Account Setup,IT,Setup,Complete,2012-04-07,2012-04-05,100.0
ONB00157,10242,Email and Collaboration Access,IT,Setup,Complete,2012-04-07,2012-04-03,100.0
ONB00158,10242,Security Awareness Training,Compliance,Enablement,Complete,2012-04-14,2012-04-16,100.0
ONB00159,10242,Company Policy Training,Compliance,Enablement,In Progress,2012-04-12,,23.0
ONB00160,10242,Role-Specific Training,Role-specific,Enablement,Complete,2012-04-22,2012-04-14,100.0
ONB00161,10242,Department Process Training,Role-specific,Enablement,Complete,2012-04-17,2012-04-19,100.0
ONB00162,10242,Tool Access Verification,IT,Enablement,Blocked,2012-04-12,,60.0
ONB00163,10242,First Week Check-in,Manager,Enablement,Not Started,2012-04-12,,0.0
ONB00164,10242,30-Day Onboarding Review,Manager,Productive,In Progress,2012-05-02,,88.0
ONB00165,10012,Complete HR Documentation,HR,Preboarding,Complete,2014-11-13,2014-11-14,100.0
ONB00166,10012,Submit Required Identification,HR,Preboarding,Complete,2014-11-12,2014-11-14,100.0
ONB00167,10012,Complete New Hire Orientation,HR,Orientation,Complete,2014-11-17,2014-11-14,100.0
ONB00168,10012,Manager Introduction,Manager,Orientation,Blocked,2014-11-15,,39.0
ONB00169,10012,Laptop Provisioning,IT,Setup,Complete,2014-11-17,2014-11-18,100.0
ONB00170,10012,Network Account Setup,IT,Setup,Complete,2014-11-15,2014-11-14,100.0
ONB00171,10012,Email and Collaboration Access,IT,Setup,Complete,2014-11-15,2014-11-11,100.0
ONB00172,10012,Security Awareness Training,Compliance,Enablement,Complete,2014-11-22,2014-11-14,100.0
ONB00173,10012,Company Policy Training,Compliance,Enablement,Complete,2014-11-20,2014-11-19,100.0
ONB00174,10012,Role-Specific Training,Role-specific,Enablement,Complete,2014-11-30,2014-11-19,100.0
ONB00175,10012,Department Process Training,Role-specific,Enablement,Complete,2014-11-25,2014-11-25,100.0
ONB00176,10012,Tool Access Verification,IT,Enablement,Complete,2014-11-20,2014-11-16,100.0
ONB00177,10012,First Week Check-in,Manager,Enablement,Complete,2014-11-20,2014-11-17,100.0
ONB00178,10012,30-Day Onboarding Review,Manager,Productive,Overdue,2014-12-10,,27.0
ONB00179,10265,Complete HR Documentation,HR,Preboarding,Complete,2012-02-23,2012-02-25,100.0
ONB00180,10265,Submit Required Identification,HR,Preboarding,Complete,2012-02-22,2012-02-21,100.0
ONB00181,10265,Complete New Hire Orientation,HR,Orientation,Blocked,2012-02-27,,37.0
ONB00182,10265,Manager Introduction,Manager,Orientation,In Progress,2012-02-25,,67.0
ONB00183,10265,Laptop Provisioning,IT,Setup,Complete,2012-02-27,2012-02-28,100.0
ONB00184,10265,Network Account Setup,IT,Setup,Complete,2012-02-25,2012-02-26,100.0
ONB00185,10265,Email and Collaboration Access,IT,Setup,In Progress,2012-02-25,,17.0
ONB00186,10265,Security Awareness Training,Compliance,Enablement,Complete,2012-03-03,2012-02-25,100.0
ONB00187,10265,Company Policy Training,Compliance,Enablement,Blocked,2012-03-01,,69.0
ONB00188,10265,Role-Specific Training,Role-specific,Enablement,Complete,2012-03-11,2012-02-27,100.0
ONB00189,10265,Department Process Training,Role-specific,Enablement,Complete,2012-03-06,2012-03-04,100.0
ONB00190,10265,Tool Access Verification,IT,Enablement,Complete,2012-03-01,2012-03-01,100.0
ONB00191,10265,First Week Check-in,Manager,Enablement,Overdue,2012-03-01,,65.0
ONB00192,10265,30-Day Onboarding Review,Manager,Productive,Overdue,2012-03-21,,12.0
ONB00193,10066,Complete HR Documentation,HR,Preboarding,Complete,2012-09-27,2012-09-27,100.0
ONB00194,10066,Submit Required Identification,HR,Preboarding,In Progress,2012-09-26,,78.0
ONB00195,10066,Complete New Hire Orientation,HR,Orientation,Overdue,2012-10-01,,8.0
ONB00196,10066,Manager Introduction,Manager,Orientation,Complete,2012-09-29,2012-09-27,100.0
ONB00197,10066,Laptop Provisioning,IT,Setup,Complete,2012-10-01,2012-09-30,100.0
ONB00198,10066,Network Account Setup,IT,Setup,Complete,2012-09-29,2012-09-29,100.0
ONB00199,10066,Email and Collaboration Access,IT,Setup,Complete,2012-09-29,2012-09-25,100.0
ONB00200,10066,Security Awareness Training,Compliance,Enablement,Complete,2012-10-06,2012-10-04,100.0
ONB00201,10066,Company Policy Training,Compliance,Enablement,Complete,2012-10-04,2012-10-04,100.0
ONB00202,10066,Role-Specific Training,Role-specific,Enablement,In Progress,2012-10-14,,76.0
ONB00203,10066,Department Process Training,Role-specific,Enablement,Complete,2012-10-09,2012-10-02,100.0
ONB00204,10066,Tool Access Verification,IT,Enablement,Overdue,2012-10-04,,54.0
ONB00205,10066,First Week Check-in,Manager,Enablement,Complete,2012-10-04,2012-10-06,100.0
ONB00206,10066,30-Day Onboarding Review,Manager,Productive,Complete,2012-10-24,2012-10-15,100.0
ONB00207,10061,Complete HR Documentation,HR,Preboarding,Complete,2011-02-24,2011-02-27,100.0
ONB00208,10061,Submit Required Identification,HR,Preboarding,Complete,2011-02-23,2011-02-25,100.0
ONB00209,10061,Complete New Hire Orientation,HR,Orientation,Complete,2011-02-28,2011-03-01,100.0
ONB00210,10061,Manager Introduction,Manager,Orientation,In Progress,2011-02-26,,87.0
ONB00211,10061,Laptop Provisioning,IT,Setup,Complete,2011-02-28,2011-03-01,100.0
ONB00212,10061,Network Account Setup,IT,Setup,Complete,2011-02-26,2011-02-24,100.0
ONB00213,10061,Email and Collaboration Access,IT,Setup,Complete,2011-02-26,2011-03-01,100.0
ONB00214,10061,Security Awareness Training,Compliance,Enablement,Overdue,2011-03-05,,13.0
ONB00215,10061,Company Policy Training,Compliance,Enablement,Complete,2011-03-03,2011-03-03,100.0
ONB00216,10061,Role-Specific Training,Role-specific,Enablement,In Progress,2011-03-13,,46.0
ONB00217,10061,Department Process Training,Role-specific,Enablement,Complete,2011-03-08,2011-03-11,100.0
ONB00218,10061,Tool Access Verification,IT,Enablement,In Progress,2011-03-03,,90.0
ONB00219,10061,First Week Check-in,Manager,Enablement,Complete,2011-03-03,2011-02-27,100.0
ONB00220,10061,30-Day Onboarding Review,Manager,Productive,Not Started,2011-03-23,,0.0
ONB00221,10023,Complete HR Documentation,HR,Preboarding,Overdue,2016-07-24,,34.0
ONB00222,10023,Submit Required Identification,HR,Preboarding,Complete,2016-07-23,2016-07-22,100.0
ONB00223,10023,Complete New Hire Orientation,HR,Orientation,Complete,2016-07-28,2016-07-30,100.0
ONB00224,10023,Manager Introduction,Manager,Orientation,Complete,2016-07-26,2016-07-25,100.0
ONB00225,10023,Laptop Provisioning,IT,Setup,Complete,2016-07-28,2016-07-27,100.0
ONB00226,10023,Network Account Setup,IT,Setup,Complete,2016-07-26,2016-07-22,100.0
ONB00227,10023,Email and Collaboration Access,IT,Setup,In Progress,2016-07-26,,51.0
ONB00228,10023,Security Awareness Training,Compliance,Enablement,Complete,2016-08-02,2016-08-05,100.0
ONB00229,10023,Company Policy Training,Compliance,Enablement,Complete,2016-07-31,2016-07-28,100.0
ONB00230,10023,Role-Specific Training,Role-specific,Enablement,Complete,2016-08-10,2016-08-04,100.0
ONB00231,10023,Department Process Training,Role-specific,Enablement,In Progress,2016-08-05,,89.0
ONB00232,10023,Tool Access Verification,IT,Enablement,Complete,2016-07-31,2016-07-28,100.0
ONB00233,10023,First Week Check-in,Manager,Enablement,Blocked,2016-07-31,,75.0
ONB00234,10023,30-Day Onboarding Review,Manager,Productive,Complete,2016-08-20,2016-08-20,100.0
ONB00235,10055,Complete HR Documentation,HR,Preboarding,Overdue,2011-04-07,,72.0
ONB00236,10055,Submit Required Identification,HR,Preboarding,In Progress,2011-04-06,,83.0
ONB00237,10055,Complete New Hire Orientation,HR,Orientation,In Progress,2011-04-11,,71.0
ONB00238,10055,Manager Introduction,Manager,Orientation,Complete,2011-04-09,2011-04-08,100.0
ONB00239,10055,Laptop Provisioning,IT,Setup,Complete,2011-04-11,2011-04-07,100.0
ONB00240,10055,Email and Collaboration Access,IT,Setup,Complete,2011-04-09,2011-04-09,100.0
ONB00241,10055,Security Awareness Training,Compliance,Enablement,Complete,2011-04-16,2011-04-16,100.0
ONB00242,10055,Role-Specific Training,Role-specific,Enablement,Blocked,2011-04-24,,34.0
ONB00243,10055,Department Process Training,Role-specific,Enablement,In Progress,2011-04-19,,27.0
ONB00244,10055,First Week Check-in,Manager,Enablement,Complete,2011-04-14,2011-04-09,100.0
ONB00245,10055,30-Day Onboarding Review,Manager,Productive,Complete,2011-05-04,2011-04-27,100.0
ONB00246,10245,Complete HR Documentation,HR,Preboarding,Complete,2014-07-10,2014-07-10,100.0
ONB00247,10245,Submit Required Identification,HR,Preboarding,Complete,2014-07-09,2014-07-07,100.0
ONB00248,10245,Complete New Hire Orientation,HR,Orientation,Complete,2014-07-14,2014-07-10,100.0
ONB00249,10245,Manager Introduction,Manager,Orientation,Complete,2014-07-12,2014-07-15,100.0
ONB00250,10245,Laptop Provisioning,IT,Setup,Complete,2014-07-14,2014-07-11,100.0
ONB00251,10245,Network Account Setup,IT,Setup,Complete,2014-07-12,2014-07-08,100.0
ONB00252,10245,Email and Collaboration Access,IT,Setup,Not Started,2014-07-12,,0.0
ONB00253,10245,Security Awareness Training,Compliance,Enablement,Complete,2014-07-19,2014-07-17,100.0
ONB00254,10245,Company Policy Training,Compliance,Enablement,Complete,2014-07-17,2014-07-18,100.0
ONB00255,10245,Role-Specific Training,Role-specific,Enablement,Complete,2014-07-27,2014-07-20,100.0
ONB00256,10245,Department Process Training,Role-specific,Enablement,Overdue,2014-07-22,,13.0
ONB00257,10245,Tool Access Verification,IT,Enablement,Complete,2014-07-17,2014-07-14,100.0
ONB00258,10245,First Week Check-in,Manager,Enablement,Complete,2014-07-17,2014-07-17,100.0
ONB00259,10245,30-Day Onboarding Review,Manager,Productive,Complete,2014-08-06,2014-08-02,100.0
ONB00260,10277,Complete HR Documentation,HR,Preboarding,Complete,2013-07-11,2013-07-11,100.0
ONB00261,10277,Submit Required Identification,HR,Preboarding,Complete,2013-07-10,2013-07-11,100.0
ONB00262,10277,Complete New Hire Orientation,HR,Orientation,Complete,2013-07-15,2013-07-15,100.0
ONB00263,10277,Manager Introduction,Manager,Orientation,In Progress,2013-07-13,,42.0
ONB00264,10277,Laptop Provisioning,IT,Setup,Complete,2013-07-15,2013-07-14,100.0
ONB00265,10277,Email and Collaboration Access,IT,Setup,Complete,2013-07-13,2013-07-13,100.0
ONB00266,10277,Security Awareness Training,Compliance,Enablement,Complete,2013-07-20,2013-07-15,100.0
ONB00267,10277,Company Policy Training,Compliance,Enablement,In Progress,2013-07-18,,60.0
ONB00268,10277,Role-Specific Training,Role-specific,Enablement,Overdue,2013-07-28,,80.0
ONB00269,10277,Department Process Training,Role-specific,Enablement,Complete,2013-07-23,2013-07-23,100.0
ONB00270,10277,Tool Access Verification,IT,Enablement,In Progress,2013-07-18,,57.0
ONB00271,10277,First Week Check-in,Manager,Enablement,Complete,2013-07-18,2013-07-17,100.0
ONB00272,10277,30-Day Onboarding Review,Manager,Productive,Complete,2013-08-07,2013-08-08,100.0
ONB00273,10046,Submit Required Identification,HR,Preboarding,Complete,2012-04-04,2012-04-06,100.0
ONB00274,10046,Complete New Hire Orientation,HR,Orientation,Complete,2012-04-09,2012-04-06,100.0
ONB00275,10046,Manager Introduction,Manager,Orientation,Complete,2012-04-07,2012-04-08,100.0
ONB00276,10046,Network Account Setup,IT,Setup,Complete,2012-04-07,2012-04-04,100.0
ONB00277,10046,Email and Collaboration Access,IT,Setup,Complete,2012-04-07,2012-04-08,100.0
ONB00278,10046,Security Awareness Training,Compliance,Enablement,In Progress,2012-04-14,,28.0
ONB00279,10046,Company Policy Training,Compliance,Enablement,Not Started,2012-04-12,,0.0
ONB00280,10046,Department Process Training,Role-specific,Enablement,Complete,2012-04-17,2012-04-09,100.0
ONB00281,10046,Tool Access Verification,IT,Enablement,Not Started,2012-04-12,,0.0
ONB00282,10046,First Week Check-in,Manager,Enablement,Complete,2012-04-12,2012-04-14,100.0
ONB00283,10046,30-Day Onboarding Review,Manager,Productive,Complete,2012-05-02,2012-05-03,100.0
ONB00284,10226,Complete HR Documentation,HR,Preboarding,Complete,2013-08-22,2013-08-21,100.0
ONB00285,10226,Submit Required Identification,HR,Preboarding,Complete,2013-08-21,2013-08-24,100.0
ONB00286,10226,Complete New Hire Orientation,HR,Orientation,Complete,2013-08-26,2013-08-28,100.0
ONB00287,10226,Laptop Provisioning,IT,Setup,In Progress,2013-08-26,,70.0
ONB00288,10226,Network Account Setup,IT,Setup,Complete,2013-08-24,2013-08-26,100.0
ONB00289,10226,Email and Collaboration Access,IT,Setup,Blocked,2013-08-24,,23.0
ONB00290,10226,Security Awareness Training,Compliance,Enablement,Blocked,2013-08-31,,44.0
ONB00291,10226,Company Policy Training,Compliance,Enablement,Complete,2013-08-29,2013-08-27,100.0
