learning_record_id,employee_id,course_name,course_type,assigned_date,completed_date,assessment_score,completion_time_hours,course_status
LRN00026,10196,Company Orientation,Orientation,2011-07-05,2011-07-10,89.65,2.17,Completed
LRN00027,10196,HR Policies and Benefits,Orientation,2011-07-06,2011-07-11,82.95,1.52,Completed
LRN00028,10196,Communication and Collaboration Tools,Orientation,2011-07-07,2011-07-18,86.1,2.74,Completed
LRN00029,10196,Department Process Training,Role-specific,2011-07-10,,,,In Progress
LRN00030,10196,Role Fundamentals,Role-specific,2011-07-12,2011-07-16,82.61,5.9,Completed
LRN00031,10196,Role Tools and Systems,Role-specific,2011-07-13,2011-08-02,75.42,3.6,Completed
LRN00032,10088,Information Security Awareness,Compliance,2008-01-08,2008-01-10,96.39,2.32,Completed
LRN00033,10088,Data Privacy and Protection,Compliance,2008-01-09,2008-01-21,84.36,1.62,Completed
LRN00034,10088,Code of Conduct,Compliance,2008-01-07,,,,Assigned
LRN00035,10088,Workplace Safety,Compliance,2008-01-08,2008-01-15,72.18,2.17,Completed
LRN00036,10088,Company Orientation,Orientation,2008-01-07,2008-01-13,74.43,2.54,Completed
LRN00037,10088,HR Policies and Benefits,Orientation,2008-01-08,,,,In Progress
LRN00038,10088,Communication and Collaboration Tools,Orientation,2008-01-09,2008-01-12,98.81,2.38,Completed
LRN00039,10088,Department Process Training,Role-specific,2008-01-12,2008-01-26,87.76,5.09,Completed
LRN00040,10088,Role Fundamentals,Role-specific,2008-01-14,2008-01-23,88.85,7.76,Completed
LRN00041,10088,Role Tools and Systems,Role-specific,2008-01-15,2008-01-31,78.59,4.15,Completed
LRN00042,10069,Information Security Awareness,Compliance,2011-07-12,2011-07-15,74.23,1.99,Completed
LRN00043,10069,Data Privacy and Protection,Compliance,2011-07-13,,87.97,,In Progress
LRN00044,10069,Code of Conduct,Compliance,2011-07-11,2011-07-16,78.08,0.86,Completed
LRN00045,10069,Workplace Safety,Compliance,2011-07-12,2011-07-26,79.5,1.83,Completed
LRN00046,10069,Company Orientation,Orientation,2011-07-11,2011-07-14,94.53,2.58,Completed
LRN00047,10069,HR Policies and Benefits,Orientation,2011-07-12,2011-07-13,77.71,1.33,Completed
LRN00048,10069,Communication and Collaboration Tools,Orientation,2011-07-13,2011-07-15,88.25,3.38,Completed
LRN00049,10069,Department Process Training,Role-specific,2011-07-16,,63.01,,In Progress
LRN00050,10069,Role Fundamentals,Role-specific,2011-07-18,2011-07-24,78.28,5.13,Completed
LRN00051,10069,Role Tools and Systems,Role-specific,2011-07-19,2011-07-26,92.71,3.69,Completed
LRN00052,10069,Professional Development,Optional,2011-07-26,,,,Overdue
LRN00053,10002,Information Security Awareness,Compliance,2012-01-10,2012-01-20,80.76,2.72,Completed
LRN00054,10002,Data Privacy and Protection,Compliance,2012-01-11,2012-01-16,75.78,2.07,Completed
LRN00055,10002,Code of Conduct,Compliance,2012-01-09,,,,In Progress
LRN00056,10002,Workplace Safety,Compliance,2012-01-10,,,,Assigned
LRN00057,10002,Company Orientation,Orientation,2012-01-09,2012-01-14,96.45,2.61,Completed
LRN00058,10002,HR Policies and Benefits,Orientation,2012-01-10,2012-01-15,89.43,2.61,Completed
LRN00059,10002,Communication and Collaboration Tools,Orientation,2012-01-11,2012-01-17,76.2,1.82,Completed
LRN00060,10002,Department Process Training,Role-specific,2012-01-14,2012-01-16,84.56,3.69,Completed
LRN00061,10002,Role Fundamentals,Role-specific,2012-01-16,2012-02-03,77.14,4.93,Completed
LRN00062,10002,Role Tools and Systems,Role-specific,2012-01-17,,,,In Progress
LRN00063,10002,Professional Development,Optional,2012-01-24,,71.38,,In Progress
LRN00064,10194,Information Security Awareness,Compliance,2014-11-11,2014-11-23,85.61,2.08,Completed
LRN00065,10194,Data Privacy and Protection,Compliance,2014-11-12,2014-11-14,78.97,1.87,Completed
LRN00066,10194,Code of Conduct,Compliance,2014-11-10,2014-11-11,86.25,1.35,Completed
LRN00067,10194,Workplace Safety,Compliance,2014-11-11,2014-11-22,94.02,2.22,Completed
LRN00068,10194,Company Orientation,Orientation,2014-11-10,,,,Overdue
LRN00069,10194,HR Policies and Benefits,Orientation,2014-11-11,2014-11-23,84.21,2.1,Completed
LRN00070,10194,Communication and Collaboration Tools,Orientation,2014-11-12,2014-11-26,77.32,2.55,Completed
LRN00071,10194,Department Process Training,Role-specific,2014-11-15,2014-11-16,100.0,3.32,Completed
LRN00072,10194,Role Fundamentals,Role-specific,2014-11-17,,,,In Progress
LRN00073,10194,Role Tools and Systems,Role-specific,2014-11-18,,80.06,,In Progress
LRN00074,10194,Professional Development,Optional,2014-11-25,,,,Assigned
LRN00075,10062,Information Security Awareness,Compliance,2013-10-01,2013-10-13,77.5,2.24,Completed
LRN00076,10062,Data Privacy and Protection,Compliance,2013-10-02,2013-10-16,85.25,1.3,Completed
LRN00077,10062,Code of Conduct,Compliance,2013-09-30,2013-10-05,100.0,1.11,Completed
LRN00078,10062,Workplace Safety,Compliance,2013-10-01,,,,In Progress
LRN00079,10062,Company Orientation,Orientation,2013-09-30,2013-10-09,83.05,2.67,Completed
LRN00080,10062,HR Policies and Benefits,Orientation,2013-10-01,,,,In Progress
LRN00081,10062,Communication and Collaboration Tools,Orientation,2013-10-02,2013-10-03,92.22,2.72,Completed
LRN00082,10062,Department Process Training,Role-specific,2013-10-05,2013-10-16,75.0,3.81,Completed
LRN00083,10062,Role Fundamentals,Role-specific,2013-10-07,2013-10-11,87.86,5.33,Completed
LRN00084,10062,Role Tools and Systems,Role-specific,2013-10-08,2013-10-19,87.24,4.82,Completed
LRN00085,10114,Information Security Awareness,Compliance,2009-07-07,,,,Assigned
LRN00086,10114,Data Privacy and Protection,Compliance,2009-07-08,2009-07-19,85.22,2.84,Completed
LRN00087,10114,Code of Conduct,Compliance,2009-07-06,2009-07-16,79.9,1.17,Completed
LRN00088,10114,Workplace Safety,Compliance,2009-07-07,,72.8,,In Progress
LRN00089,10114,Company Orientation,Orientation,2009-07-06,2009-07-11,93.42,2.73,Completed
LRN00090,10114,HR Policies and Benefits,Orientation,2009-07-07,,,,Overdue
LRN00091,10114,Communication and Collaboration Tools,Orientation,2009-07-08,,,,In Progress
LRN00092,10114,Department Process Training,Role-specific,2009-07-11,2009-07-23,85.17,3.8,Completed
LRN00093,10114,Role Fundamentals,Role-specific,2009-07-13,2009-07-30,97.77,2.92,Completed
LRN00094,10114,Role Tools and Systems,Role-specific,2009-07-14,2009-07-28,88.37,4.17,Completed
LRN00095,10250,Information Security Awareness,Compliance,2015-01-06,2015-01-14,73.73,2.93,Completed
LRN00096,10250,Data Privacy and Protection,Compliance,2015-01-07,2015-01-14,77.58,1.87,Completed
LRN00097,10250,Code of Conduct,Compliance,2015-01-05,,,,Overdue
LRN00098,10250,Workplace Safety,Compliance,2015-01-06,,,,Assigned
LRN00099,10250,Company Orientation,Orientation,2015-01-05,2015-01-09,95.42,2.72,Completed
LRN00100,10250,HR Policies and Benefits,Orientation,2015-01-06,,,,Assigned
LRN00101,10250,Communication and Collaboration Tools,Orientation,2015-01-07,2015-01-11,83.63,2.53,Completed
LRN00102,10250,Department Process Training,Role-specific,2015-01-10,2015-01-25,93.92,3.06,Completed
LRN00103,10250,Role Fundamentals,Role-specific,2015-01-12,,,,In Progress
LRN00104,10250,Role Tools and Systems,Role-specific,2015-01-13,2015-02-02,92.01,6.14,Completed
LRN00105,10252,Information Security Awareness,Compliance,2011-01-11,2011-01-19,76.62,2.24,Completed
LRN00106,10252,Data Privacy and Protection,Compliance,2011-01-12,2011-01-19,80.41,1.59,Completed
LRN00107,10252,Code of Conduct,Compliance,2011-01-10,2011-01-18,76.27,1.3,Completed
LRN00108,10252,Workplace Safety,Compliance,2011-01-11,2011-01-14,95.24,2.24,Completed
LRN00109,10252,Company Orientation,Orientation,2011-01-10,2011-01-12,88.43,2.54,Completed
LRN00110,10252,HR Policies and Benefits,Orientation,2011-01-11,,,,In Progress
LRN00111,10252,Communication and Collaboration Tools,Orientation,2011-01-12,2011-01-15,90.73,1.71,Completed
LRN00112,10252,Department Process Training,Role-specific,2011-01-15,2011-02-01,88.95,4.68,Completed
LRN00113,10252,Role Fundamentals,Role-specific,2011-01-17,,,,In Progress
LRN00114,10252,Role Tools and Systems,Role-specific,2011-01-18,2011-02-02,87.88,4.74,Completed
LRN00115,10252,Professional Development,Optional,2011-01-25,2011-02-15,84.82,4.85,Completed
LRN00116,10242,Information Security Awareness,Compliance,2012-04-03,2012-04-12,97.85,2.13,Completed
LRN00117,10242,Data Privacy and Protection,Compliance,2012-04-04,,,,Overdue
LRN00118,10242,Code of Conduct,Compliance,2012-04-02,,,,In Progress
LRN00119,10242,Workplace Safety,Compliance,2012-04-03,2012-04-09,96.63,2.34,Completed
LRN00120,10242,Company Orientation,Orientation,2012-04-02,,,,Overdue
LRN00121,10242,HR Policies and Benefits,Orientation,2012-04-03,2012-04-07,84.36,1.2,Completed
LRN00122,10242,Communication and Collaboration Tools,Orientation,2012-04-04,2012-04-17,82.34,2.55,Completed
LRN00123,10242,Department Process Training,Role-specific,2012-04-07,2012-04-21,75.99,2.72,Completed
LRN00124,10242,Role Fundamentals,Role-specific,2012-04-09,2012-04-27,89.52,6.63,Completed
LRN00125,10242,Role Tools and Systems,Role-specific,2012-04-10,,44.9,,In Progress
LRN00126,10242,Professional Development,Optional,2012-04-17,,,,Assigned
LRN00127,10012,Information Security Awareness,Compliance,2014-11-11,2014-11-19,80.7,2.57,Completed
LRN00128,10012,Data Privacy and Protection,Compliance,2014-11-12,2014-11-27,87.83,2.21,Completed
LRN00129,10012,Code of Conduct,Compliance,2014-11-10,2014-11-15,87.57,1.75,Completed
LRN00130,10012,Workplace Safety,Compliance,2014-11-11,,,,Assigned
LRN00131,10012,Company Orientation,Orientation,2014-11-10,2014-11-12,83.87,2.44,Completed
LRN00132,10012,HR Policies and Benefits,Orientation,2014-11-11,2014-11-21,75.63,1.41,Completed
LRN00133,10012,Communication and Collaboration Tools,Orientation,2014-11-12,,,,Assigned
LRN00134,10012,Department Process Training,Role-specific,2014-11-15,2014-11-26,92.0,3.77,Completed
LRN00135,10012,Role Fundamentals,Role-specific,2014-11-17,,,,In Progress
LRN00136,10012,Role Tools and Systems,Role-specific,2014-11-18,,,,Assigned
LRN00137,10012,Professional Development,Optional,2014-11-25,2014-12-06,96.83,5.09,Completed
LRN00138,10265,Information Security Awareness,Compliance,2012-02-21,,64.42,,In Progress
LRN00139,10265,Data Privacy and Protection,Compliance,2012-02-22,2012-02-26,99.77,1.45,Completed
LRN00140,10265,Code of Conduct,Compliance,2012-02-20,2012-02-21,89.8,1.46,Completed
LRN00141,10265,Workplace Safety,Compliance,2012-02-21,2012-03-01,93.43,1.76,Completed
LRN00142,10265,Company Orientation,Orientation,2012-02-20,2012-02-24,80.77,2.71,Completed
LRN00143,10265,HR Policies and Benefits,Orientation,2012-02-21,2012-03-04,88.63,2.14,Completed
LRN00144,10265,Communication and Collaboration Tools,Orientation,2012-02-22,,,,Overdue
LRN00145,10265,Department Process Training,Role-specific,2012-02-25,2012-03-04,94.54,3.73,Completed
LRN00146,10265,Role Fundamentals,Role-specific,2012-02-27,,,,Overdue
LRN00147,10265,Role Tools and Systems,Role-specific,2012-02-28,2012-03-11,84.95,4.81,Completed
LRN00148,10066,Information Security Awareness,Compliance,2012-09-25,2012-10-07,79.33,1.71,Completed
LRN00149,10066,Data Privacy and Protection,Compliance,2012-09-26,2012-10-03,77.06,1.82,Completed
LRN00150,10066,Code of Conduct,Compliance,2012-09-24,2012-09-29,94.85,1.21,Completed
LRN00151,10066,Workplace Safety,Compliance,2012-09-25,2012-10-02,82.74,1.89,Completed
LRN00152,10066,Company Orientation,Orientation,2012-09-24,2012-10-01,83.29,3.03,Completed
LRN00153,10066,HR Policies and Benefits,Orientation,2012-09-25,2012-09-29,86.05,3.04,Completed
LRN00154,10066,Communication and Collaboration Tools,Orientation,2012-09-26,2012-10-09,86.73,2.79,Completed
LRN00155,10066,Department Process Training,Role-specific,2012-09-29,2012-10-13,84.64,3.38,Completed
LRN00156,10066,Role Fundamentals,Role-specific,2012-10-01,2012-10-12,91.32,7.3,Completed
LRN00157,10066,Role Tools and Systems,Role-specific,2012-10-02,2012-10-19,83.71,4.91,Completed
LRN00158,10061,Information Security Awareness,Compliance,2011-02-22,,48.09,,In Progress
LRN00159,10061,Data Privacy and Protection,Compliance,2011-02-23,,,,Assigned
LRN00160,10061,Code of Conduct,Compliance,2011-02-21,2011-03-01,80.24,1.05,Completed
LRN00161,10061,Workplace Safety,Compliance,2011-02-22,2011-02-25,81.65,2.97,Completed
LRN00162,10061,Company Orientation,Orientation,2011-02-21,,,,In Progress
LRN00163,10061,HR Policies and Benefits,Orientation,2011-02-22,,,,In Progress
LRN00164,10061,Communication and Collaboration Tools,Orientation,2011-02-23,2011-03-09,85.31,2.9,Completed
LRN00165,10061,Department Process Training,Role-specific,2011-02-26,2011-03-10,91.35,3.45,Completed
LRN00166,10061,Role Fundamentals,Role-specific,2011-02-28,,,,Assigned
LRN00167,10061,Role Tools and Systems,Role-specific,2011-03-01,,,,Overdue
LRN00168,10061,Professional Development,Optional,2011-03-08,,,,In Progress
LRN00169,10023,Information Security Awareness,Compliance,2016-07-22,2016-08-02,97.64,2.57,Completed
LRN00170,10023,Data Privacy and Protection,Compliance,2016-07-23,2016-07-29,98.52,1.86,Completed
LRN00171,10023,Code of Conduct,Compliance,2016-07-21,2016-07-24,89.62,1.03,Completed
LRN00172,10023,Workplace Safety,Compliance,2016-07-22,2016-08-04,81.69,2.46,Completed
LRN00173,10023,Company Orientation,Orientation,2016-07-21,2016-07-22,72.51,2.09,Completed
LRN00174,10023,HR Policies and Benefits,Orientation,2016-07-22,2016-07-24,84.57,1.9,Completed
LRN00175,10023,Communication and Collaboration Tools,Orientation,2016-07-23,,57.91,,In Progress
LRN00176,10023,Department Process Training,Role-specific,2016-07-26,2016-08-11,89.08,4.45,Completed
LRN00177,10023,Role Fundamentals,Role-specific,2016-07-28,,,,In Progress
LRN00178,10023,Role Tools and Systems,Role-specific,2016-07-29,2016-08-05,83.54,3.82,Completed
LRN00179,10055,Information Security Awareness,Compliance,2011-04-05,2011-04-16,78.89,2.46,Completed
LRN00180,10055,Data Privacy and Protection,Compliance,2011-04-06,,,,Assigned
LRN00181,10055,Code of Conduct,Compliance,2011-04-04,2011-04-10,79.88,1.77,Completed
LRN00182,10055,Workplace Safety,Compliance,2011-04-05,2011-04-09,80.78,2.22,Completed
LRN00183,10055,Company Orientation,Orientation,2011-04-04,2011-04-05,74.41,2.47,Completed
LRN00184,10055,HR Policies and Benefits,Orientation,2011-04-05,2011-04-08,87.52,1.42,Completed
LRN00185,10055,Communication and Collaboration Tools,Orientation,2011-04-06,2011-04-17,95.98,2.37,Completed
LRN00186,10055,Department Process Training,Role-specific,2011-04-09,,,,Assigned
LRN00187,10055,Role Fundamentals,Role-specific,2011-04-11,,,,In Progress
LRN00188,10055,Role Tools and Systems,Role-specific,2011-04-12,,,,In Progress
LRN00189,10245,Information Security Awareness,Compliance,2014-07-08,2014-07-16,87.88,3.31,Completed
LRN00190,10245,Data Privacy and Protection,Compliance,2014-07-09,,,,Overdue
LRN00191,10245,Code of Conduct,Compliance,2014-07-07,2014-07-13,100.0,1.0,Completed
LRN00192,10245,Workplace Safety,Compliance,2014-07-08,2014-07-16,81.84,2.33,Completed
LRN00193,10245,Company Orientation,Orientation,2014-07-07,2014-07-15,71.8,2.76,Completed
LRN00194,10245,HR Policies and Benefits,Orientation,2014-07-08,,61.72,,In Progress
LRN00195,10245,Communication and Collaboration Tools,Orientation,2014-07-09,,,,In Progress
LRN00196,10245,Department Process Training,Role-specific,2014-07-12,,51.14,,In Progress
LRN00197,10245,Role Fundamentals,Role-specific,2014-07-14,2014-07-22,87.88,4.29,Completed
LRN00198,10245,Role Tools and Systems,Role-specific,2014-07-15,,,,In Progress
LRN00199,10245,Professional Development,Optional,2014-07-22,,,,Assigned
LRN00200,10277,Data Privacy and Protection,Compliance,2013-07-10,2013-07-18,89.77,1.79,Completed
LRN00201,10277,Code of Conduct,Compliance,2013-07-08,,,,Assigned
LRN00202,10277,Workplace Safety,Compliance,2013-07-09,2013-07-13,66.7,2.64,Completed
LRN00203,10277,Company Orientation,Orientation,2013-07-08,,,,Assigned
LRN00204,10277,HR Policies and Benefits,Orientation,2013-07-09,2013-07-12,70.51,1.88,Completed
LRN00205,10277,Communication and Collaboration Tools,Orientation,2013-07-10,2013-07-19,77.09,2.79,Completed
LRN00206,10277,Department Process Training,Role-specific,2013-07-13,2013-07-29,74.04,4.56,Completed
LRN00207,10277,Role Fundamentals,Role-specific,2013-07-15,,,,Overdue
LRN00208,10277,Role Tools and Systems,Role-specific,2013-07-16,2013-08-01,84.86,5.05,Completed
LRN00209,10046,Information Security Awareness,Compliance,2012-04-03,2012-04-08,87.32,2.3,Completed
LRN00210,10046,Data Privacy and Protection,Compliance,2012-04-04,2012-04-10,99.34,1.56,Completed
LRN00211,10046,Code of Conduct,Compliance,2012-04-02,2012-04-04,88.56,1.24,Completed
LRN00212,10046,Workplace Safety,Compliance,2012-04-03,2012-04-16,83.41,1.32,Completed
LRN00213,10046,Company Orientation,Orientation,2012-04-02,,,,In Progress
LRN00214,10046,HR Policies and Benefits,Orientation,2012-04-03,2012-04-08,85.35,1.32,Completed
LRN00215,10046,Communication and Collaboration Tools,Orientation,2012-04-04,2012-04-18,81.82,1.22,Completed
LRN00216,10046,Department Process Training,Role-specific,2012-04-07,2012-04-24,88.18,3.43,Completed
LRN00217,10046,Role Fundamentals,Role-specific,2012-04-09,2012-04-16,88.79,8.86,Completed
LRN00218,10046,Role Tools and Systems,Role-specific,2012-04-10,2012-04-17,89.1,4.35,Completed
LRN00219,10226,Information Security Awareness,Compliance,2013-08-20,,,,Overdue
LRN00220,10226,Data Privacy and Protection,Compliance,2013-08-21,2013-08-25,81.99,1.83,Completed
LRN00221,10226,Code of Conduct,Compliance,2013-08-19,2013-08-28,92.33,1.95,Completed
LRN00222,10226,Workplace Safety,Compliance,2013-08-20,2013-08-25,88.51,1.9,Completed
LRN00223,10226,Company Orientation,Orientation,2013-08-19,2013-08-29,67.99,2.09,Completed
LRN00224,10226,HR Policies and Benefits,Orientation,2013-08-20,2013-08-21,78.29,1.63,Completed
LRN00225,10226,Communication and Collaboration Tools,Orientation,2013-08-21,2013-08-25,94.9,2.38,Completed
LRN00226,10226,Department Process Training,Role-specific,2013-08-24,2013-09-05,94.39,3.22,Completed
LRN00227,10226,Role Fundamentals,Role-specific,2013-08-26,2013-09-04,90.47,5.73,Completed
LRN00228,10226,Role Tools and Systems,Role-specific,2013-08-27,2013-08-31,91.61,3.57,Completed
LRN00229,10226,Professional Development,Optional,2013-09-03,2013-09-04,84.31,3.78,Completed
LRN00230,10003,Information Security Awareness,Compliance,2014-07-08,,,,In Progress
LRN00231,10003,Data Privacy and Protection,Compliance,2014-07-09,2014-07-13,67.75,1.4,Completed
LRN00232,10003,Code of Conduct,Compliance,2014-07-07,2014-07-11,97.69,1.58,Completed
LRN00233,10003,Workplace Safety,Compliance,2014-07-08,,,,Overdue
LRN00234,10003,Company Orientation,Orientation,2014-07-07,2014-07-12,89.58,2.53,Completed
LRN00235,10003,HR Policies and Benefits,Orientation,2014-07-08,2014-07-14,84.5,2.11,Completed
LRN00236,10003,Communication and Collaboration Tools,Orientation,2014-07-09,2014-07-23,92.46,1.69,Completed
LRN00237,10003,Department Process Training,Role-specific,2014-07-12,2014-07-16,94.01,4.95,Completed
LRN00238,10003,Role Fundamentals,Role-specific,2014-07-14,2014-07-29,86.79,7.12,Completed
LRN00239,10003,Role Tools and Systems,Role-specific,2014-07-15,2014-08-01,90.13,4.17,Completed
LRN00240,10003,Professional Development,Optional,2014-07-22,,,,Assigned
LRN00241,10294,Information Security Awareness,Compliance,2011-04-05,2011-04-17,100.0,3.07,Completed
LRN00242,10294,Data Privacy and Protection,Compliance,2011-04-06,,,,In Progress
LRN00243,10294,Code of Conduct,Compliance,2011-04-04,,,,In Progress
LRN00244,10294,Workplace Safety,Compliance,2011-04-05,2011-04-14,91.08,2.3,Completed
LRN00245,10294,Company Orientation,Orientation,2011-04-04,2011-04-13,71.73,2.54,Completed
LRN00246,10294,HR Policies and Benefits,Orientation,2011-04-05,2011-04-06,75.76,2.67,Completed
LRN00247,10294,Communication and Collaboration Tools,Orientation,2011-04-06,,,,In Progress
LRN00248,10294,Department Process Training,Role-specific,2011-04-09,,,,Assigned
LRN00249,10294,Role Fundamentals,Role-specific,2011-04-11,2011-04-16,87.62,4.69,Completed
LRN00250,10294,Role Tools and Systems,Role-specific,2011-04-12,2011-04-15,86.48,3.33,Completed
LRN00251,10294,Professional Development,Optional,2011-04-19,2011-05-11,100.0,5.89,Completed
LRN00252,10267,Information Security Awareness,Compliance,2011-01-11,,,,Assigned
LRN00253,10267,Data Privacy and Protection,Compliance,2011-01-12,2011-01-13,77.34,1.94,Completed
LRN00254,10267,Code of Conduct,Compliance,2011-01-10,2011-01-15,90.09,1.62,Completed
LRN00255,10267,Workplace Safety,Compliance,2011-01-11,,77.96,,In Progress
LRN00256,10267,Company Orientation,Orientation,2011-01-10,2011-01-16,94.21,2.52,Completed
LRN00257,10267,HR Policies and Benefits,Orientation,2011-01-11,2011-01-14,88.76,2.15,Completed
LRN00258,10267,Communication and Collaboration Tools,Orientation,2011-01-12,,,,In Progress
LRN00259,10267,Department Process Training,Role-specific,2011-01-15,,,,In Progress
LRN00260,10267,Role Fundamentals,Role-specific,2011-01-17,2011-01-29,87.74,5.76,Completed
LRN00261,10267,Role Tools and Systems,Role-specific,2011-01-18,,,,In Progress
LRN00262,10267,Professional Development,Optional,2011-01-25,2011-02-16,88.49,4.6,Completed
LRN00263,10199,Information Security Awareness,Compliance,2014-02-18,,,,Overdue
LRN00264,10199,Data Privacy and Protection,Compliance,2014-02-19,2014-02-21,97.5,1.54,Completed
LRN00265,10199,Code of Conduct,Compliance,2014-02-17,2014-02-26,86.23,1.51,Completed
LRN00266,10199,Workplace Safety,Compliance,2014-02-18,2014-03-01,95.71,0.93,Completed
LRN00267,10199,Company Orientation,Orientation,2014-02-17,,,,In Progress
LRN00268,10199,HR Policies and Benefits,Orientation,2014-02-18,2014-02-28,79.98,1.64,Completed
LRN00269,10199,Communication and Collaboration Tools,Orientation,2014-02-19,2014-03-05,97.42,3.42,Completed
LRN00270,10199,Department Process Training,Role-specific,2014-02-22,2014-02-26,86.28,5.4,Completed
LRN00271,10199,Role Fundamentals,Role-specific,2014-02-24,,,,Assigned
LRN00272,10199,Role Tools and Systems,Role-specific,2014-02-25,2014-03-17,88.92,7.36,Completed
LRN00273,10081,Information Security Awareness,Compliance,2015-02-17,2015-02-24,82.08,2.95,Completed
LRN00274,10081,Data Privacy and Protection,Compliance,2015-02-18,2015-03-05,88.23,2.01,Completed
LRN00275,10081,Code of Conduct,Compliance,2015-02-16,2015-02-20,70.5,1.7,Completed
LRN00276,10081,Workplace Safety,Compliance,2015-02-17,2015-02-27,74.46,1.98,Completed
LRN00277,10081,Company Orientation,Orientation,2015-02-16,,,,Assigned
LRN00278,10081,HR Policies and Benefits,Orientation,2015-02-17,2015-02-23,75.26,1.84,Completed
LRN00279,10081,Communication and Collaboration Tools,Orientation,2015-02-18,2015-02-22,85.63,2.64,Completed
LRN00280,10081,Department Process Training,Role-specific,2015-02-21,2015-02-23,86.5,2.49,Completed
LRN00281,10081,Role Fundamentals,Role-specific,2015-02-23,2015-03-16,85.9,5.73,Completed
LRN00282,10081,Role Tools and Systems,Role-specific,2015-02-24,,,,In Progress
LRN00283,10175,Information Security Awareness,Compliance,2013-10-01,,,,Overdue
LRN00284,10175,Data Privacy and Protection,Compliance,2013-10-02,,,,Overdue
LRN00285,10175,Code of Conduct,Compliance,2013-09-30,2013-10-05,95.96,1.37,Completed
LRN00286,10175,Workplace Safety,Compliance,2013-10-01,2013-10-03,72.37,1.67,Completed
LRN00287,10175,Company Orientation,Orientation,2013-09-30,2013-10-06,86.31,2.34,Completed
LRN00288,10175,HR Policies and Benefits,Orientation,2013-10-01,,,,Assigned
LRN00289,10175,Communication and Collaboration Tools,Orientation,2013-10-02,2013-10-05,79.1,2.74,Completed
LRN00290,10175,Department Process Training,Role-specific,2013-10-05,2013-10-21,86.82,3.88,Completed
LRN00291,10175,Role Fundamentals,Role-specific,2013-10-07,2013-10-16,81.02,8.47,Completed
LRN00292,10175,Role Tools and Systems,Role-specific,2013-10-08,,,,Assigned
LRN00293,10177,Information Security Awareness,Compliance,2012-04-03,,,,Assigned
LRN00294,10177,Data Privacy and Protection,Compliance,2012-04-04,2012-04-14,90.44,1.75,Completed
LRN00295,10177,Code of Conduct,Compliance,2012-04-02,2012-04-07,95.26,1.93,Completed
LRN00296,10177,Workplace Safety,Compliance,2012-04-03,2012-04-14,70.95,1.87,Completed
LRN00297,10177,Company Orientation,Orientation,2012-04-02,,,,Overdue
LRN00298,10177,HR Policies and Benefits,Orientation,2012-04-03,,,,Assigned
LRN00299,10177,Communication and Collaboration Tools,Orientation,2012-04-04,,,,In Progress
LRN00300,10177,Department Process Training,Role-specific,2012-04-07,2012-04-12,84.64,4.33,Completed
LRN00301,10177,Role Fundamentals,Role-specific,2012-04-09,2012-04-17,86.05,6.54,Completed
