ticket_id,employee_id,created_date,issue_category,priority,resolution_time_hours,assigned_team,status
TKT00055,10245,2014-07-14 16:44:00,Learning,Low,34.46,HR Support,Resolved
TKT00056,10245,2014-07-30 08:04:00,HR policy,Low,10.1,People Operations,Closed
TKT00057,10277,2013-07-29 13:47:00,Other,Medium,21.18,IT Service Desk,Resolved
TKT00058,10046,2012-05-14 12:07:00,Hardware,Low,73.04,IT Service Desk,Resolved
TKT00059,10046,2012-04-30 12:38:00,Hardware,Medium,13.2,Endpoint Support,Resolved
TKT00060,10046,2012-05-14 08:17:00,Hardware,Medium,17.51,IT Service Desk,Resolved
TKT00061,10046,2012-05-04 13:38:00,Payroll,Medium,18.54,HR Support,Resolved
TKT00062,10046,2012-04-26 14:31:00,Hardware,Medium,28.01,IT Service Desk,Closed
TKT00063,10226,2013-09-25 08:04:00,Learning,Medium,21.94,Learning & Development,Resolved
TKT00064,10226,2013-08-19 12:49:00,Learning,High,9.57,Learning & Development,Resolved
TKT00065,10226,2013-09-11 11:30:00,Access,Critical,2.16,IT Access Management,Closed
TKT00066,10226,2013-09-20 15:23:00,HR policy,Medium,17.99,People Operations,Resolved
TKT00067,10226,2013-09-20 09:25:00,Access,Critical,1.81,IT Access Management,Resolved
TKT00068,10226,2013-08-25 13:26:00,Other,Medium,19.1,IT Service Desk,Resolved
TKT00069,10226,2013-09-30 09:18:00,Hardware,High,5.93,IT Service Desk,Resolved
TKT00070,10003,2014-08-15 14:33:00,Learning,Medium,15.62,HR Support,Closed
TKT00071,10003,2014-07-31 16:20:00,Hardware,High,13.71,Endpoint Support,Resolved
TKT00072,10003,2014-07-26 17:18:00,Payroll,High,6.44,Payroll Support,Resolved
TKT00073,10003,2014-08-18 14:37:00,Hardware,Low,62.77,IT Service Desk,Resolved
TKT00074,10294,2011-04-28 14:42:00,HR policy,Medium,11.25,People Operations,Resolved
TKT00075,10294,2011-05-07 10:57:00,Other,Medium,23.95,HR Support,Closed
TKT00076,10294,2011-05-03 13:57:00,Hardware,High,,Endpoint Support,Open
TKT00077,10294,2011-05-07 17:44:00,Access,Medium,9.1,IT Access Management,Resolved
TKT00078,10267,2011-01-22 17:26:00,Learning,Low,30.57,HR Support,Resolved
TKT00079,10267,2011-02-10 15:42:00,Access,Medium,9.7,IT Service Desk,Closed
TKT00080,10267,2011-02-20 10:06:00,Access,High,8.13,IT Access Management,Resolved
TKT00081,10267,2011-01-11 15:24:00,HR policy,High,3.51,HR Support,Resolved
TKT00082,10267,2011-02-14 16:54:00,Hardware,Medium,23.74,IT Service Desk,Resolved
TKT00083,10267,2011-01-18 14:05:00,Other,Medium,23.81,HR Support,Closed
TKT00084,10199,2014-03-28 15:44:00,Other,Medium,,HR Support,In Progress
TKT00085,10199,2014-02-23 09:21:00,Hardware,Low,51.96,IT Service Desk,Resolved
TKT00086,10081,2015-03-05 10:33:00,Other,High,2.52,IT Service Desk,Resolved
TKT00087,10081,2015-03-18 08:17:00,Payroll,Low,42.13,HR Support,Resolved
TKT00088,10081,2015-02-18 13:15:00,Access,Medium,21.46,IT Access Management,Resolved
TKT00089,10081,2015-03-19 10:48:00,Other,High,6.6,IT Service Desk,Closed
TKT00090,10081,2015-03-07 14:19:00,Access,Medium,24.86,IT Access Management,Resolved
TKT00091,10175,2013-10-20 10:30:00,Access,Medium,10.19,IT Access Management,Resolved
TKT00092,10175,2013-11-10 14:26:00,Access,Medium,21.68,IT Service Desk,Resolved
TKT00093,10177,2012-04-07 13:16:00,Access,Medium,13.83,IT Service Desk,Resolved
TKT00094,10177,2012-04-13 10:19:00,Learning,Low,15.84,Learning & Development,Resolved
TKT00095,10238,2008-11-04 09:36:00,HR policy,Low,,HR Support,In Progress
TKT00096,10238,2008-11-04 16:01:00,Access,Low,42.38,IT Service Desk,Resolved
TKT00097,10184,2014-10-20 09:53:00,HR policy,High,4.89,People Operations,Resolved
TKT00098,10184,2014-10-26 17:59:00,Hardware,Medium,38.01,Endpoint Support,Closed
TKT00099,10203,2013-11-26 11:01:00,Access,Low,52.91,IT Service Desk,Closed
TKT00100,10203,2013-11-16 16:08:00,Hardware,Low,27.51,Endpoint Support,Resolved
TKT00101,10203,2013-12-04 09:59:00,Access,Low,60.63,IT Access Management,Resolved
TKT00102,10203,2013-12-07 16:05:00,Access,Medium,15.14,IT Access Management,Resolved
TKT00103,10203,2013-12-08 09:17:00,Access,Medium,15.42,IT Service Desk,Closed
TKT00104,10203,2013-12-19 16:50:00,Access,Medium,18.92,IT Service Desk,Resolved
TKT00105,10188,2011-09-03 12:56:00,Payroll,High,10.71,HR Support,Resolved
TKT00106,10188,2011-09-28 10:10:00,Access,Low,30.66,IT Service Desk,Closed
TKT00107,10188,2011-09-24 15:38:00,Hardware,Medium,46.63,Endpoint Support,Resolved
TKT00108,10188,2011-09-20 17:34:00,Learning,Low,,HR Support,In Progress
TKT00109,10188,2011-09-07 08:00:00,Learning,Medium,33.94,Learning & Development,Resolved
TKT00110,10188,2011-09-17 17:53:00,Hardware,Medium,112.88,Endpoint Support,Resolved
TKT00111,10188,2011-08-15 14:34:00,Hardware,Medium,27.38,Endpoint Support,Resolved
TKT00112,10107,2012-04-17 15:14:00,Hardware,Low,46.54,IT Service Desk,Closed
TKT00113,10107,2012-04-18 09:28:00,Access,Medium,18.37,IT Access Management,Resolved
TKT00114,10181,2011-05-09 11:52:00,Access,High,,IT Access Management,Open
TKT00115,10181,2011-05-01 08:24:00,Other,Medium,5.84,IT Service Desk,Resolved
TKT00116,10181,2011-05-02 12:32:00,Learning,Low,20.86,Learning & Development,Resolved
TKT00117,10181,2011-04-28 15:44:00,Payroll,Medium,22.62,HR Support,Resolved
TKT00118,10150,2011-08-27 09:50:00,Access,Low,34.67,IT Service Desk,Resolved
TKT00119,10150,2011-08-21 16:34:00,HR policy,Medium,23.27,People Operations,Resolved
TKT00120,10150,2011-08-22 08:56:00,Access,High,6.74,IT Service Desk,Closed
TKT00121,10001,2016-02-19 16:57:00,Other,Low,17.87,IT Service Desk,Resolved
TKT00122,10001,2016-02-14 09:09:00,Access,Medium,27.8,IT Access Management,Resolved
TKT00123,10001,2016-02-21 14:11:00,Hardware,Critical,1.05,IT Service Desk,Closed
TKT00124,10001,2016-03-06 17:40:00,Access,Low,21.72,IT Service Desk,Resolved
TKT00125,10001,2016-03-02 14:47:00,HR policy,Low,,People Operations,In Progress
TKT00126,10085,2013-12-21 08:23:00,Access,Low,25.74,IT Service Desk,Resolved
TKT00127,10115,2014-04-21 14:57:00,Payroll,Medium,30.08,Payroll Support,Resolved
TKT00128,10115,2014-05-15 12:17:00,Access,Medium,,IT Access Management,Open
TKT00129,10115,2014-04-30 09:18:00,Payroll,High,17.35,HR Support,Resolved
TKT00130,10115,2014-04-06 15:35:00,Payroll,High,9.35,Payroll Support,Resolved
TKT00131,10082,2016-08-02 14:18:00,HR policy,Medium,10.06,HR Support,Resolved
TKT00132,10082,2016-07-11 17:40:00,Learning,Low,20.62,Learning & Development,Resolved
TKT00133,10082,2016-08-11 17:44:00,HR policy,Medium,10.89,HR Support,Closed
TKT00134,10082,2016-07-11 11:37:00,HR policy,Medium,,People Operations,In Progress
TKT00135,10040,2014-10-01 14:21:00,Other,High,5.46,IT Service Desk,Closed
TKT00136,10067,2014-11-06 17:58:00,Other,Medium,18.81,IT Service Desk,Closed
TKT00137,10067,2014-10-31 10:36:00,Hardware,Medium,32.98,Endpoint Support,Resolved
TKT00138,10067,2014-10-09 14:48:00,Hardware,High,11.68,IT Service Desk,Resolved
TKT00139,10067,2014-10-05 16:14:00,Learning,Medium,12.99,Learning & Development,Resolved
TKT00140,10108,2016-10-18 10:58:00,HR policy,Low,25.51,HR Support,Resolved
TKT00141,10108,2016-09-16 14:27:00,Other,High,7.06,IT Service Desk,Resolved
TKT00142,10210,2014-05-26 10:27:00,Other,Medium,22.74,HR Support,Resolved
TKT00143,10210,2014-06-12 16:54:00,Learning,Medium,28.12,HR Support,Resolved
TKT00144,10210,2014-06-03 10:53:00,Learning,Low,37.77,Learning & Development,Closed
TKT00145,10210,2014-05-24 08:30:00,Payroll,Low,32.38,HR Support,Resolved
TKT00146,10210,2014-06-11 15:49:00,Access,Low,10.51,IT Service Desk,Resolved
TKT00147,10210,2014-06-01 16:02:00,Payroll,Medium,22.14,HR Support,Closed
TKT00148,10210,2014-06-04 13:45:00,Learning,Medium,5.85,HR Support,Resolved
TKT00149,10154,2013-08-14 08:23:00,Access,Critical,2.1,IT Service Desk,Resolved
TKT00150,10154,2013-07-16 16:57:00,Hardware,High,7.03,Endpoint Support,Resolved
TKT00151,10154,2013-07-21 10:44:00,HR policy,Medium,38.07,HR Support,Resolved
TKT00152,10200,2012-06-05 14:15:00,HR policy,Medium,6.64,HR Support,Closed
TKT00153,10200,2012-06-17 10:07:00,Hardware,Medium,18.84,Endpoint Support,Resolved
TKT00154,10200,2012-05-14 08:12:00,Access,High,9.49,IT Access Management,Resolved
TKT00155,10240,2011-07-18 09:18:00,Payroll,Low,19.85,Payroll Support,Resolved
TKT00156,10240,2011-07-05 08:08:00,Hardware,High,8.71,IT Service Desk,Resolved
TKT00157,10240,2011-07-12 10:55:00,Hardware,Low,33.83,Endpoint Support,Closed
TKT00158,10168,2011-10-12 16:57:00,Access,High,10.24,IT Access Management,Resolved
TKT00159,10168,2011-10-21 08:19:00,Access,High,9.29,IT Access Management,Resolved
TKT00160,10168,2011-10-17 12:31:00,Other,Critical,3.48,IT Service Desk,Resolved
TKT00161,10220,2012-10-14 08:35:00,Access,Medium,25.92,IT Access Management,Resolved
TKT00162,10220,2012-10-11 17:43:00,Other,Medium,35.62,IT Service Desk,Resolved
TKT00163,10275,2011-05-23 13:43:00,Access,Medium,13.25,IT Access Management,Resolved
TKT00164,10275,2011-06-09 16:58:00,Access,Medium,32.35,IT Access Management,Resolved
TKT00165,10275,2011-06-03 09:55:00,Other,Medium,13.74,HR Support,Resolved
TKT00166,10275,2011-05-19 08:20:00,Payroll,High,13.73,Payroll Support,Resolved
TKT00167,10029,2016-07-15 13:14:00,Hardware,High,7.55,Endpoint Support,Closed
TKT00168,10029,2016-08-15 13:22:00,Payroll,Low,48.67,HR Support,Closed
TKT00169,10029,2016-08-08 14:54:00,Other,Medium,10.58,IT Service Desk,Resolved
TKT00170,10029,2016-08-13 08:17:00,Learning,Medium,13.28,HR Support,Closed
TKT00171,10029,2016-07-25 14:34:00,Hardware,Medium,13.36,IT Service Desk,Resolved
TKT00172,10029,2016-07-27 17:31:00,Access,Low,37.7,IT Service Desk,Resolved
TKT00173,10261,2013-07-19 08:34:00,Other,High,5.59,HR Support,Resolved
TKT00174,10261,2013-07-09 10:32:00,Hardware,Critical,,Endpoint Support,In Progress
TKT00175,10292,2011-08-21 09:16:00,Learning,High,5.4,Learning & Development,Resolved
TKT00176,10292,2011-08-06 15:23:00,Other,Medium,8.25,IT Service Desk,Resolved
TKT00177,10292,2011-08-03 10:11:00,Access,Low,39.63,IT Access Management,Closed
TKT00178,10282,2010-09-02 12:42:00,Other,Medium,16.71,IT Service Desk,Resolved
TKT00179,10282,2010-07-25 08:43:00,Hardware,Medium,19.95,IT Service Desk,Resolved
TKT00180,10282,2010-07-21 11:09:00,HR policy,Low,,People Operations,In Progress
TKT00181,10282,2010-08-19 17:52:00,Payroll,Low,32.84,Payroll Support,Resolved
TKT00182,10282,2010-07-28 09:34:00,Access,High,7.17,IT Access Management,Resolved
TKT00183,10282,2010-08-28 14:39:00,Learning,High,4.36,HR Support,Resolved
TKT00184,10019,2009-01-13 14:19:00,Payroll,Medium,31.3,Payroll Support,Resolved
TKT00185,10019,2009-02-15 09:42:00,Learning,Low,11.5,HR Support,Resolved
TKT00186,10019,2009-01-28 17:26:00,Payroll,Critical,5.96,Payroll Support,Resolved
TKT00187,10094,2015-02-02 08:35:00,HR policy,Medium,9.94,People Operations,Closed
TKT00188,10193,2015-04-18 12:38:00,Learning,High,14.29,Learning & Development,Resolved
TKT00189,10132,2016-07-30 10:35:00,Hardware,Low,44.73,Endpoint Support,Resolved
TKT00190,10132,2016-08-16 15:16:00,Learning,Low,,HR Support,In Progress
TKT00191,10132,2016-07-24 10:19:00,Access,High,9.83,IT Access Management,Closed
TKT00192,10132,2016-07-22 15:28:00,Access,Low,20.46,IT Service Desk,Resolved
TKT00193,10132,2016-08-13 15:08:00,Payroll,Medium,13.64,HR Support,Closed
TKT00194,10083,2014-12-13 10:54:00,Hardware,Medium,27.84,Endpoint Support,Resolved
TKT00195,10083,2014-11-23 16:22:00,Hardware,Low,33.81,IT Service Desk,Closed
TKT00196,10083,2014-11-11 16:37:00,HR policy,Medium,11.69,People Operations,Closed
TKT00197,10083,2014-12-01 15:04:00,Learning,Low,31.68,Learning & Development,Resolved
TKT00198,10083,2014-12-15 13:38:00,Payroll,Low,50.43,Payroll Support,Resolved
TKT00199,10099,2014-05-20 17:33:00,Other,Medium,8.89,HR Support,Resolved
TKT00200,10099,2014-06-09 12:03:00,Other,Medium,25.47,HR Support,Resolved
TKT00201,10099,2014-05-17 17:54:00,Learning,Low,14.32,Learning & Development,Resolved
TKT00202,10099,2014-05-20 17:33:00,Access,Medium,16.38,IT Service Desk,Resolved
TKT00203,10099,2014-06-09 13:22:00,Learning,High,6.49,HR Support,Resolved
TKT00204,10099,2014-06-14 08:12:00,Other,Medium,13.59,IT Service Desk,Closed
TKT00205,10212,2014-12-02 15:51:00,Hardware,Medium,31.41,IT Service Desk,Closed
TKT00206,10212,2014-11-21 17:04:00,Hardware,Medium,42.47,IT Service Desk,Closed
TKT00207,10212,2014-11-19 09:11:00,Hardware,Medium,29.48,IT Service Desk,Resolved
TKT00208,10056,2012-07-20 17:13:00,Other,High,5.68,IT Service Desk,Resolved
TKT00209,10056,2012-07-21 15:09:00,HR policy,High,2.19,HR Support,Closed
TKT00210,10056,2012-07-04 16:52:00,Access,Medium,17.3,IT Access Management,Resolved
TKT00211,10056,2012-07-09 17:06:00,Learning,Medium,13.27,HR Support,Closed
TKT00212,10056,2012-08-08 09:44:00,Learning,Medium,7.36,Learning & Development,Resolved
TKT00213,10056,2012-07-25 13:51:00,Payroll,Medium,,HR Support,In Progress
TKT00214,10143,2011-12-10 16:55:00,Other,Critical,2.86,HR Support,Resolved
TKT00215,10143,2011-11-17 08:35:00,Other,High,5.84,IT Service Desk,Resolved
TKT00216,10143,2011-12-22 12:53:00,Hardware,Medium,14.15,IT Service Desk,Closed
TKT00217,10143,2011-12-20 16:56:00,HR policy,Low,16.94,HR Support,Closed
TKT00218,10311,2018-07-10 16:23:00,Learning,High,3.15,HR Support,Resolved
TKT00219,10070,2011-05-31 17:26:00,Access,Medium,17.81,IT Access Management,Closed
TKT00220,10070,2011-06-05 08:38:00,Hardware,Low,35.67,IT Service Desk,Closed
TKT00221,10070,2011-05-21 09:15:00,Payroll,High,,Payroll Support,In Progress
TKT00222,10070,2011-05-23 10:12:00,Hardware,Low,33.4,IT Service Desk,Resolved
TKT00223,10070,2011-05-17 09:31:00,Access,Medium,16.44,IT Access Management,Closed
TKT00224,10155,2012-02-14 15:15:00,Access,Low,33.91,IT Access Management,Resolved
TKT00225,10155,2012-02-07 16:52:00,HR policy,Medium,18.83,HR Support,Resolved
TKT00226,10155,2012-02-19 09:17:00,HR policy,Medium,16.72,HR Support,Resolved
TKT00227,10155,2012-01-16 14:55:00,HR policy,Medium,9.49,HR Support,Resolved
TKT00228,10155,2012-01-29 08:24:00,Access,Low,17.87,IT Access Management,Resolved
TKT00229,10306,2014-11-01 17:55:00,HR policy,Medium,24.33,HR Support,Resolved
TKT00230,10306,2014-10-22 14:28:00,Access,High,12.43,IT Access Management,Resolved
TKT00231,10306,2014-10-26 09:25:00,Hardware,Low,50.9,IT Service Desk,Resolved
TKT00232,10306,2014-11-01 15:01:00,Learning,Medium,11.17,HR Support,Resolved
TKT00233,10100,2011-05-17 13:09:00,Other,High,,HR Support,Open
TKT00234,10100,2011-04-17 11:15:00,Access,Medium,21.84,IT Service Desk,Resolved
TKT00235,10100,2011-04-19 14:43:00,Payroll,High,12.83,Payroll Support,Resolved
TKT00236,10100,2011-04-17 17:26:00,Learning,Critical,,HR Support,Open
TKT00237,10310,2014-08-02 14:24:00,Payroll,Medium,16.58,HR Support,Resolved
TKT00238,10310,2014-07-15 13:51:00,Access,Medium,16.44,IT Access Management,Resolved
TKT00239,10310,2014-08-20 11:06:00,Access,Medium,21.92,IT Service Desk,Resolved
TKT00240,10197,2017-03-10 14:13:00,Access,Medium,25.68,IT Service Desk,Resolved
TKT00241,10197,2017-02-15 13:10:00,Other,High,8.89,HR Support,Resolved
TKT00242,10276,2014-06-15 10:44:00,Hardware,Medium,28.12,IT Service Desk,Closed
TKT00243,10276,2014-06-10 10:36:00,Hardware,Medium,33.55,IT Service Desk,Closed
TKT00244,10276,2014-06-09 14:41:00,Hardware,Low,22.39,IT Service Desk,Resolved
TKT00245,10276,2014-05-20 09:49:00,Hardware,High,15.74,Endpoint Support,Resolved
TKT00246,10276,2014-06-04 17:30:00,Other,Medium,,IT Service Desk,In Progress
TKT00247,10304,2012-03-19 12:25:00,HR policy,Medium,6.51,People Operations,Resolved
TKT00248,10304,2012-02-28 16:31:00,Learning,Medium,11.08,Learning & Development,Resolved
TKT00249,10304,2012-03-07 17:10:00,Learning,Low,16.27,HR Support,Resolved
TKT00250,10284,2013-01-12 10:05:00,Other,Critical,1.33,HR Support,Resolved
TKT00251,10284,2013-01-22 11:04:00,HR policy,Medium,13.9,People Operations,Closed
TKT00252,10284,2013-02-09 13:19:00,Learning,Medium,,HR Support,In Progress
TKT00253,10284,2013-01-12 11:53:00,HR policy,Medium,11.33,HR Support,Resolved
TKT00254,10133,2015-01-24 08:41:00,Access,Medium,6.91,IT Access Management,Resolved
TKT00255,10133,2015-01-16 11:27:00,Access,Medium,16.4,IT Access Management,Closed
TKT00256,10028,2014-02-13 12:44:00,Hardware,Medium,,IT Service Desk,In Progress
TKT00257,10105,2014-09-24 15:20:00,Payroll,Critical,2.18,HR Support,Resolved
TKT00258,10105,2014-09-18 12:09:00,Hardware,Medium,29.01,Endpoint Support,Resolved
TKT00259,10105,2014-09-22 13:25:00,Payroll,High,6.73,Payroll Support,Resolved
TKT00260,10105,2014-10-21 16:09:00,Payroll,Medium,23.45,HR Support,Closed
TKT00261,10105,2014-11-01 10:11:00,Payroll,Medium,22.73,Payroll Support,Resolved
TKT00262,10105,2014-10-09 09:30:00,HR policy,Medium,16.96,People Operations,Resolved
TKT00263,10211,2010-04-27 13:29:00,Hardware,Low,53.07,IT Service Desk,Resolved
TKT00264,10211,2010-05-06 14:09:00,Other,Medium,,HR Support,Open
TKT00265,10211,2010-05-03 09:31:00,Hardware,Medium,41.67,IT Service Desk,Resolved
TKT00266,10211,2010-05-23 10:15:00,Other,Low,26.67,IT Service Desk,Resolved
TKT00267,10211,2010-05-08 10:11:00,Access,Medium,6.14,IT Service Desk,Resolved
TKT00268,10064,2011-05-01 17:21:00,Learning,Medium,10.85,HR Support,Resolved
TKT00269,10247,2014-12-25 12:46:00,Access,Low,38.21,IT Access Management,Resolved
TKT00270,10247,2014-12-16 14:31:00,Learning,Low,28.61,HR Support,Resolved
TKT00271,10247,2014-11-30 12:15:00,Access,Medium,16.66,IT Service Desk,Resolved
TKT00272,10247,2014-12-22 12:45:00,Other,Medium,18.56,IT Service Desk,Resolved
TKT00273,10247,2014-11-16 15:21:00,Payroll,Medium,34.94,Payroll Support,Resolved
TKT00274,10247,2014-11-10 15:29:00,Other,High,8.95,HR Support,Resolved
TKT00275,10247,2014-12-17 11:35:00,Access,Medium,,IT Access Management,In Progress
TKT00276,10235,2014-03-31 08:30:00,Learning,Medium,9.84,HR Support,Resolved
TKT00277,10235,2014-05-11 10:11:00,Other,Medium,24.42,IT Service Desk,Resolved
TKT00278,10299,2014-07-21 16:15:00,Hardware,High,42.55,IT Service Desk,Resolved
TKT00279,10280,2012-05-13 16:15:00,Access,Medium,21.25,IT Service Desk,Resolved
TKT00280,10280,2012-04-29 14:26:00,Hardware,High,12.08,IT Service Desk,Closed
TKT00281,10280,2012-04-16 17:22:00,Access,Medium,10.65,IT Service Desk,Resolved
TKT00282,10280,2012-05-02 11:11:00,Access,Medium,14.71,IT Service Desk,Resolved
TKT00283,10296,2014-03-30 17:47:00,Payroll,Low,51.38,Payroll Support,Resolved
TKT00284,10296,2014-02-17 08:26:00,Hardware,Low,43.27,Endpoint Support,Closed
TKT00285,10296,2014-03-28 13:37:00,Learning,Medium,10.48,HR Support,Closed
TKT00286,10296,2014-02-21 13:42:00,Access,High,8.96,IT Service Desk,Resolved
TKT00287,10290,2011-06-11 15:45:00,Access,Low,46.95,IT Service Desk,Resolved
TKT00288,10290,2011-05-11 11:36:00,HR policy,Low,15.59,HR Support,Closed
TKT00289,10136,2014-03-16 14:53:00,Hardware,Critical,4.79,IT Service Desk,Resolved
TKT00290,10136,2014-02-23 10:16:00,Hardware,Medium,22.0,IT Service Desk,Resolved
TKT00291,10136,2014-02-20 08:24:00,Access,Low,6.8,IT Service Desk,Resolved
TKT00292,10136,2014-02-23 13:25:00,Access,Medium,26.64,IT Service Desk,Resolved
TKT00293,10136,2014-03-08 08:41:00,Access,High,11.15,IT Access Management,Resolved
TKT00294,10189,2011-11-07 15:00:00,Access,High,5.88,IT Service Desk,Closed
TKT00295,10308,2015-06-01 13:46:00,Access,Medium,16.3,IT Service Desk,Resolved
TKT00296,10308,2015-05-17 13:49:00,Other,Low,30.76,IT Service Desk,Resolved
TKT00297,10309,2015-04-18 11:41:00,Hardware,Medium,34.07,IT Service Desk,Resolved
TKT00298,10309,2015-04-26 13:08:00,Other,Medium,9.67,IT Service Desk,Closed
TKT00299,10309,2015-04-04 08:17:00,Access,Critical,4.33,IT Access Management,Resolved
TKT00300,10049,2012-01-09 11:35:00,Hardware,Critical,3.3,Endpoint Support,Resolved
TKT00301,10093,2011-06-25 11:32:00,Access,Medium,,IT Access Management,In Progress
TKT00302,10093,2011-06-09 17:29:00,Hardware,Low,37.79,IT Service Desk,Resolved
TKT00303,10093,2011-06-20 09:05:00,Other,Medium,15.34,IT Service Desk,Resolved
TKT00304,10093,2011-05-19 08:41:00,Learning,Medium,12.91,HR Support,Closed
TKT00305,10093,2011-06-06 11:55:00,Payroll,High,12.97,Payroll Support,Resolved
TKT00306,10093,2011-06-19 11:59:00,Hardware,Low,51.71,IT Service Desk,Resolved
TKT00307,10163,2011-05-08 13:20:00,Payroll,Medium,15.78,Payroll Support,Resolved
TKT00308,10305,2014-11-08 13:40:00,Payroll,Low,16.73,HR Support,Resolved
TKT00309,10305,2014-10-16 13:57:00,Learning,Medium,5.05,HR Support,Resolved
TKT00310,10305,2014-10-22 10:22:00,Learning,Low,39.98,Learning & Development,Resolved
TKT00311,10015,2011-05-24 11:50:00,Learning,High,3.01,HR Support,Resolved
