metric_1,metric_2,correlation,relationship
average_daily_active_usage,total_workspace_activity,-0.20226970784276005,weak_or_none
average_daily_active_usage,total_support_tickets,0.012644377697630212,weak_or_none
average_daily_active_usage,average_resolution_time_hours,-0.06196617269449072,weak_or_none
average_daily_active_usage,open_support_tickets,-0.058344602914479515,weak_or_none
average_daily_active_usage,total_learning_records,0.05264353276570692,weak_or_none
average_daily_active_usage,completed_courses,0.026317856218618856,weak_or_none
average_daily_active_usage,average_assessment_score,0.06385327487572913,weak_or_none
average_daily_active_usage,learning_completion_rate,0.00747298753201902,weak_or_none
average_daily_active_usage,Absences,0.040986912678695434,weak_or_none
average_daily_active_usage,DaysLateLast30,-0.0021092054222571475,weak_or_none
total_slack_activity,total_jira_usage,0.21125282538890103,weak_or_none
total_slack_activity,total_github_activity,0.30379535479400815,moderate_positive
total_slack_activity,total_teams_activity,-0.16931845648836658,weak_or_none
total_slack_activity,total_workspace_activity,-0.17790426237920173,weak_or_none
total_slack_activity,total_support_tickets,0.01509252836536432,weak_or_none
total_slack_activity,average_resolution_time_hours,-0.03826976321943128,weak_or_none
total_slack_activity,open_support_tickets,0.004578565992572123,weak_or_none
total_slack_activity,total_learning_records,0.048245005622975186,weak_or_none
total_slack_activity,completed_courses,0.04228133253351013,weak_or_none
total_slack_activity,average_assessment_score,-0.04901230652068891,weak_or_none
total_slack_activity,learning_completion_rate,0.03529634960774904,weak_or_none
total_slack_activity,Absences,-0.07321012505195092,weak_or_none
total_slack_activity,DaysLateLast30,-0.004757119019141016,weak_or_none
total_jira_usage,total_github_activity,0.7633756874087136,strong_positive
total_jira_usage,total_teams_activity,-0.6546832888825521,moderate_negative
total_jira_usage,total_workspace_activity,-0.40946520965580946,moderate_negative
total_jira_usage,total_support_tickets,-0.06239329921606421,weak_or_none
total_jira_usage,average_resolution_time_hours,-0.06485600458268252,weak_or_none
total_jira_usage,open_support_tickets,-0.03263988849809146,weak_or_none
total_jira_usage,total_learning_records,0.07088131674126316,weak_or_none
total_jira_usage,completed_courses,0.019349773386421475,weak_or_none
total_jira_usage,average_assessment_score,-0.05754707849018899,weak_or_none
total_jira_usage,learning_completion_rate,-0.01022934401969956,weak_or_none
total_jira_usage,Absences,0.049627495848848256,weak_or_none
total_jira_usage,DaysLateLast30,-0.05205526617714508,weak_or_none
total_github_activity,total_teams_activity,-0.693520773606854,moderate_negative
total_github_activity,total_workspace_activity,-0.49312055640872177,moderate_negative
total_github_activity,total_support_tickets,-0.12082161416306787,weak_or_none
total_github_activity,average_resolution_time_hours,-0.03609227922638036,weak_or_none
total_github_activity,open_support_tickets,-0.11028724460946152,weak_or_none
total_github_activity,total_learning_records,0.10136637971312135,weak_or_none
total_github_activity,completed_courses,-0.03472248747729476,weak_or_none
total_github_activity,average_assessment_score,-0.052562247957463615,weak_or_none
total_github_activity,learning_completion_rate,-0.069109751376581,weak_or_none
total_github_activity,Absences,-0.015134946030631624,weak_or_none
total_github_activity,DaysLateLast30,-0.015229118920909683,weak_or_none
total_teams_activity,total_workspace_activity,0.3744034242360045,moderate_positive
total_teams_activity,total_support_tickets,0.1033761991229794,weak_or_none
total_teams_activity,average_resolution_time_hours,0.029678886806479166,weak_or_none
total_teams_activity,open_support_tickets,0.10289802948849396,weak_or_none
total_teams_activity,total_learning_records,-0.10887635648243048,weak_or_none
total_teams_activity,completed_courses,0.05787561628150546,weak_or_none
total_teams_activity,average_assessment_score,0.058362712699606134,weak_or_none
total_teams_activity,learning_completion_rate,0.09715583500632263,weak_or_none
total_teams_activity,Absences,0.059678248825231796,weak_or_none
total_teams_activity,DaysLateLast30,0.04471382149829176,weak_or_none
total_workspace_activity,total_support_tickets,0.16453812528808393,weak_or_none
total_workspace_activity,average_resolution_time_hours,0.003318795267143166,weak_or_none
total_workspace_activity,open_support_tickets,0.1306743558855623,weak_or_none
total_workspace_activity,total_learning_records,-0.021019034693659365,weak_or_none
total_workspace_activity,completed_courses,0.06583058735904362,weak_or_none
total_workspace_activity,average_assessment_score,0.006810331477034927,weak_or_none
total_workspace_activity,learning_completion_rate,0.07151850732255671,weak_or_none
total_workspace_activity,Absences,0.03954809143149762,weak_or_none
total_workspace_activity,DaysLateLast30,-0.03285228190190046,weak_or_none
total_support_tickets,average_resolution_time_hours,0.17994897989807163,weak_or_none
total_support_tickets,open_support_tickets,0.8743271958263754,strong_positive
total_support_tickets,total_learning_records,0.02541967682740976,weak_or_none
total_support_tickets,completed_courses,-0.00842048639319352,weak_or_none
total_support_tickets,average_assessment_score,0.025386095499696323,weak_or_none
total_support_tickets,learning_completion_rate,-0.01802571720049189,weak_or_none
total_support_tickets,Absences,0.0631321894008697,weak_or_none
total_support_tickets,DaysLateLast30,-0.06756089208047461,weak_or_none
average_resolution_time_hours,open_support_tickets,0.14232175276993586,weak_or_none
average_resolution_time_hours,total_learning_records,0.045431896926458215,weak_or_none
average_resolution_time_hours,completed_courses,0.0007237045356681352,weak_or_none
average_resolution_time_hours,average_assessment_score,-0.055841170341218584,weak_or_none
average_resolution_time_hours,learning_completion_rate,-0.01511552002149167,weak_or_none
average_resolution_time_hours,Absences,0.014683103598241876,weak_or_none
average_resolution_time_hours,DaysLateLast30,0.07845314900086867,weak_or_none
open_support_tickets,total_learning_records,0.009880037289938831,weak_or_none
open_support_tickets,completed_courses,-0.022303049836049964,weak_or_none
open_support_tickets,average_assessment_score,0.005585105999499636,weak_or_none
open_support_tickets,learning_completion_rate,-0.02497126118628001,weak_or_none
open_support_tickets,Absences,0.07053759053984197,weak_or_none
open_support_tickets,DaysLateLast30,-0.05792216474700379,weak_or_none
total_learning_records,completed_courses,0.21083255152069755,weak_or_none
total_learning_records,average_assessment_score,0.010485801301446404,weak_or_none
total_learning_records,learning_completion_rate,-0.07925219034572739,weak_or_none
total_learning_records,Absences,0.0713500796780913,weak_or_none
total_learning_records,DaysLateLast30,0.05216794113709448,weak_or_none
completed_courses,average_assessment_score,0.3988309468525704,moderate_positive
completed_courses,learning_completion_rate,0.9537348606992484,strong_positive
completed_courses,Absences,-0.07493108118795615,weak_or_none
completed_courses,DaysLateLast30,0.0009800212807274812,weak_or_none
average_assessment_score,learning_completion_rate,0.4180987670229207,moderate_positive
average_assessment_score,Absences,-0.003213663843452309,weak_or_none
average_assessment_score,DaysLateLast30,0.0077686611129244845,weak_or_none
learning_completion_rate,Absences,-0.09177886429754266,weak_or_none
learning_completion_rate,DaysLateLast30,-0.014886471555596584,weak_or_none
Absences,DaysLateLast30,0.001833164292736242,weak_or_none
