hire_month,employee_count,average_onboarding_completion_rate,average_learning_completion_rate,average_assessment_score,rolling_onboarding_completion_rate,rolling_learning_completion_rate,rolling_assessment_score,onboarding_completion_change
2011-03-01,1,78.57142857142857,66.66666666666666,84.655,74.82332482332482,66.24691358024691,83.55413007054675,5.952380952380949
2011-04-01,8,75.43081918081919,61.70454545454545,85.1263869047619,75.5404317904318,63.39646464646464,84.30526785714285,-3.1406093906093844
2011-05-01,12,74.47691197691198,61.16161616161616,83.4762757936508,76.15971990971991,63.17760942760942,84.41922089947091,-0.9539072039072067
2011-06-01,2,74.67532467532467,70.9090909090909,82.27992063492064,74.86101861101861,64.59175084175084,83.62752777777779,0.19841269841269593
2011-07-01,13,71.67511975204283,73.00699300699301,84.5780112942613,73.6091188014265,68.35923335923336,83.4447359076109,-3.000204923281842
2011-08-01,5,69.0909090909091,49.40259740259741,80.87592380952381,71.81378450609219,64.43956043956045,82.57795191290192,-2.5842106611337385
2011-09-01,10,69.77855477855478,69.36363636363636,85.35712182539683,70.18152787383558,63.92440892440893,83.60368564306064,0.6876456876456842
2011-10-01,1,70.0,80.0,88.62555555555555,69.62315462315462,66.25541125541126,84.95286706349206,0.22144522144522227
2011-11-01,10,78.34165834165834,73.63636363636364,86.4303253968254,72.70673770673771,74.33333333333333,86.80433425925928,8.341658341658345
2012-01-01,8,73.48214285714286,76.70454545454545,84.80250892857143,73.94126706626707,76.78030303030303,86.61946329365078,-4.859515484515484
2012-02-01,5,68.80952380952381,67.45454545454545,83.94733333333333,73.54444166944167,72.59848484848486,85.06005588624339,-4.672619047619051
2012-03-01,3,60.80586080586081,67.5,83.83419047619049,67.69917582417584,70.55303030303031,84.19467757936508,-8.003663003663
2012-04-01,10,71.67748917748918,67.14141414141415,84.72827341269841,67.0976245976246,67.36531986531986,84.16993240740742,10.871628371628368
2012-05-01,4,69.94047619047619,57.27272727272727,87.46249999999998,67.47460872460873,63.97138047138048,85.34165462962962,-1.7370129870129887
2012-07-01,4,75.0,68.61111111111111,84.46495238095238,72.20598845598846,64.34175084175085,85.55190859788358,5.05952380952381
2012-08-01,4,83.92857142857142,81.875,86.83240575396826,76.28968253968253,69.25294612794613,86.25328604497354,8.928571428571416
2012-09-01,4,61.85064935064935,69.31818181818181,82.56653174603176,73.59307359307358,73.26809764309763,84.62129662698413,-22.077922077922068
2012-10-01,1,53.84615384615385,80.0,87.9075,66.54179154179154,77.06439393939394,85.76881250000001,-8.004495504495502
2012-11-01,2,78.57142857142858,57.72727272727273,84.32071428571429,64.75607725607726,69.01515151515152,84.93158201058202,24.725274725274737
2013-01-01,5,81.19047619047619,62.54545454545455,82.79830634920636,71.20268620268621,66.75757575757575,85.00884021164022,2.619047619047606
2013-02-01,2,88.0952380952381,68.18181818181819,84.750625,82.61904761904763,62.81818181818181,83.95654854497354,6.904761904761912
2013-04-01,3,61.904761904761905,64.54545454545455,86.54634259259258,77.06349206349206,65.09090909090908,84.69842464726631,-26.190476190476197
2013-05-01,3,64.28571428571428,65.15151515151514,86.07342857142856,71.42857142857143,65.95959595959594,85.79013205467372,2.3809523809523725
2013-07-01,9,68.80341880341881,68.92255892255892,83.27329068462402,64.997964997965,66.20650953984286,85.29768728288171,4.51770451770453
2013-08-01,6,73.01587301587301,76.51515151515152,85.86087500000001,68.70166870166871,70.19640852974184,85.06919808535086,4.212454212454205
2013-09-01,9,79.36507936507935,76.4421997755331,84.60499470899471,73.72812372812372,73.95997007108117,84.57972013120624,6.349206349206341
2013-11-01,7,67.34693877551021,77.27272727272727,85.54124829931972,73.24263038548753,76.74335952113728,85.33570600277147,-12.018140589569143
2014-01-01,6,73.80952380952381,68.03030303030303,84.56010582010582,73.5071806500378,73.91507669285447,84.90211627614008,6.4625850340136
2014-02-01,7,74.17582417582416,79.22077922077922,86.84087301587302,71.77742892028607,74.84126984126983,85.64740904509951,0.3663003663003508
2014-03-01,3,80.95238095238095,66.66666666666667,84.89714285714285,76.31257631257631,71.3059163059163,85.43270723104057,6.776556776556788
2014-05-01,10,71.42607392607393,64.36868686868686,84.13995833333334,75.51809301809301,70.08537758537757,85.29265806878307,-9.526307026307023
2014-07-01,9,71.93362193362194,68.73737373737373,83.73556305114639,74.77069227069228,66.59090909090908,84.25755474720752,0.5075480075480101
2014-08-01,3,69.84126984126983,71.51515151515152,86.91476851851853,71.06698856698857,68.20707070707068,84.93009663433276,-2.092352092352101
2014-09-01,13,76.68869591946515,74.61538461538461,85.8605757020757,72.82119589811897,71.62263662263662,85.50363575724687,6.847426078195312
2014-11-01,8,72.18406593406593,71.5909090909091,84.42747271825397,72.9046772316003,72.57381507381506,85.73427231294941,-4.5046299853992195
2014-12-01,1,69.23076923076923,80.0,80.97625,72.7011770281001,75.40209790209789,83.7547661401099,-2.953296703296701
2015-01-01,11,72.07792207792208,64.79338842975207,84.93025649350649,71.16425241425242,72.12809917355371,83.44465973725347,2.8471528471528558
2015-02-01,8,65.17857142857143,75.45454545454545,86.40250694444444,68.82908757908758,73.41597796143249,84.10300447931697,-6.899350649350652
2015-03-01,12,73.91774891774891,72.87878787878789,87.2772318121693,70.39141414141415,71.04224058769513,86.20333175004008,8.739177489177479
2015-05-01,2,78.57142857142857,65.0,84.52785714285714,72.55591630591631,71.1111111111111,86.06919863315697,4.65367965367966
2015-06-01,2,64.28571428571428,80.0,86.0873015873016,72.25829725829726,72.62626262626263,85.96413018077601,-14.285714285714292
2015-07-01,1,78.57142857142857,60.0,82.37,73.80952380952381,68.33333333333333,84.32838624338625,14.285714285714292
2016-01-01,2,71.42857142857143,48.18181818181819,85.63553571428571,71.42857142857143,62.72727272727272,84.69761243386243,-7.142857142857139
2016-05-01,1,78.57142857142857,63.63636363636363,87.82714285714285,76.19047619047619,57.27272727272726,85.27755952380953,7.142857142857139
2016-06-01,3,74.6031746031746,83.93939393939394,87.28679894179895,74.86772486772487,65.25252525252525,86.91649250440918,-3.9682539682539755
2016-07-01,5,77.51515151515152,75.45454545454545,85.60944126984127,76.8965848965849,74.34343434343434,86.90779435626102,2.9119769119769217
2016-09-01,1,85.71428571428571,90.0,88.94222222222223,79.27753727753728,83.13131313131312,87.27948747795415,8.199134199134193
2016-10-01,2,69.04761904761904,80.0,85.55650793650793,77.42568542568542,81.81818181818181,86.70272380952379,-16.66666666666667
2017-01-01,1,75.0,63.63636363636363,84.63666666666667,76.58730158730158,77.87878787878788,86.3784656084656,5.952380952380963
2017-02-01,3,78.57142857142857,60.6060606060606,84.73886904761905,74.2063492063492,68.08080808080807,84.97734788359789,3.5714285714285694
2017-04-01,2,82.14285714285714,80.45454545454545,87.96842857142857,78.57142857142857,68.23232323232322,85.78132142857142,3.5714285714285694
2018-07-01,1,50.0,60.0,89.38,70.23809523809524,67.020202020202,87.36243253968253,-32.14285714285714
